id,name,img_cnt,address,tel,tag,desc,time,menu,lat,lng,category
G9WUHeHk24Vc,모터시티 바이 매니멀 강남점,8,서울특별시 강남구 역삼동 817-33,02-2052-3003,데이트코스,"데이트하기좋은, 점심식사, 저녁식사, 포장가능, 배달",,"JACKSON5:24,900원|CHEESE PIZZA:18,900원|PEPPERONI:19,800원|MOTOWN SUPREME:23,900원|TRUFFLE BACON MUSHROOM:25,900원|FOUR CHEESE HORSEMAN:25,900원|FRIES WITH QUESO:14,900원|CRISPY MUSHROOMS:9,900원|BUFFALO:11,000원|CREAMY CHIPOTLE:11,000원|CREAMY GARLIC PARMESAN:11,000원|CHICKEN Caesar salad:13,500원|GARLIC SHRIMP PASTA:22,000원|TRUFFLE TOOWOOMBA PASTA:19,800원|3.A,M:22,900원|MC X SQUARE PIE GUYS:23,900원|MANIMAL BBQ:23,900원|MIKE'S HOT BURRATA:26,900원|COLESLAW:3,900원",37.50057341,127.0278957,식당
xTeQSu5RNQ0q,쁘라텟타이,8,서울특별시 강남구 역삼동 644-24,02-2051-0601,식사모임,"이국적/이색적, 점심식사, 저녁식사, 바테이블, 배달",매일:오전 11시 - 오후 9시 30분|쉬는시간 매일:오후 2시 30분 - 오후 4시 30분,"팟타이:17,000원|꾸아이띠아오:14,000원|까이 팟 맷마무엉:26,000원|비건 삐여우완:26,000원|똠얌꿍:17,000원|팟 끄라파오 무쌉:17,000원|뿌팟퐁커리:28,000원|깽키여우완(그린커리):23,000원|텃만꿍4p:15,000원|뽀삐아(Vegan) 4p:8,000원|쏨땀:14,000원|팍 붕 화이뎅:14,000원",37.50111313,127.0343328,식당
wsfaMmJR7N5u,에슬로우 역삼1호점,3,서울특별시 강남구 역삼동 735-17,02-565-5977,돌잔치,"크리스마스, 테이크아웃, 주차",매일:오전 7시 - 오후 11시,"샤케라또:3,500원|해독주스:5,000원|마더주스:5,000원|마블주스:5,000원|마바주스:5,000원|아보카도스무디:5,000원",37.49817758,127.0336437,카페
Ca1bMTnmW4RL,요거티 강남본점,8,서울특별시 강남구 역삼동 840-7,02-2135-1833,간식,"지역주민이찾는, 점심식사, 테이크아웃, 주차, 배달",매일:오전 11시 30분 - 오전 1시 30분,"[39,4] 그릭 요거트:3,500원|[39,4] 그릭 요거트 (대용량):15,000원|마이 요거티:9,800원|슈퍼푸드:10,900원|허니비:10,900원|베리밤:11,900원|아임프루트:12,900원|트로피컬 컵:13,900원|그래니너츠:12,900원|길티플래져:15,500원|망고탱고:23,500원",37.49149083,127.0364387,카페
16StMSHeQaCh,불독펍,2,서울특별시 강남구 역삼동 810-2,02-563-9196,데이트코스,"분위기좋은, 바자리, 반려동물동반",월-금:오후 6시 - 오후 10시|토요일:오후 5시 - 오후 10시|휴무일:매주 일요일,"홈메이드푸드 햄버거:14,000원|퀘사디아:14,000원|깔라마리:14,000원|피쉬앤 칩스:18,000원|뱅거스 & 메쉬:17,000원",37.50362907,127.0259429,식당
zNivIquMc2vy,잇테이블,2,서울특별시 강남구 역삼동 834-55,,데이트,"분위기있는, 테이크아웃",월-금:오전 8시 - 자정 12시|토/일:오전 10시 - 자정 12시,"수박주스:7,000원|콜드브루:5000~|쑥라떼:5,500원|요거트스무디:6,000원|불루베리스무디:6,000원|뱅쇼:6,500원|자몽에이드:6,000원|청포도에이드:6,000원|다톡스 자몽에이드:6,500원|꿀자몽:8,500원|자몽블랙티:6,500원|딸기라떼:7,500원|아메리카노:4,000원|카페라떼:4,500원|카페모카:5,500원",37.49404915,127.0352358,카페
4xJ3C8Y0xxYN,오늘와인한잔 강남역1번출구점,4,서울특별시 강남구 역삼동 825-20 센트럴푸루지오시티 2층 217호,02-555-9132,데이트장소,"로맨틱한분위기, 야외테라스, 주차, 배달",매일:오후 3시 - 오전 6시,"?감바스?:8,900원|?과일치즈플래터?:23,900원",37.49772688,127.0292974,식당
kvhn2kQw9zcN,hpseoul,5,서울특별시 강남구 역삼동 812-13 지상2층,,생일파티,"힙한분위기, dj부스",매일:오후 1시 - 오후 11시,"제주 한아름 ++한우 오일 파스타:32,000원|해물 토마토 파스타:18,000원|애호박 까르보나라:18,000원|닭다리살 바질 파스타:18,000원|쉬림프 투움바 파스타:18,000원|감자전 떡볶이:23,000원|통 칼바사 김치볶음밥:16,000원|HP에이드:7,000원",37.50283847,127.0273938,식당
BeGeQFvra974,플,5,서울 강남구 역삼동 626-28 2동 1층,,,반려동물동반,월-금:오전 8시 - 오후 5시|휴무일:매주 토/일,"아메리카노:3,000원|카페라떼:4,000원|약과:2,000원",37.5040107,127.0332737,카페
4iLbvpWB5Mv0,버거집,8,서울특별시 강남구 역삼동 789-1,070-8959-0215,혼밥,"직장인맛집, 점심식사, 저녁식사, 테이크아웃, 배달",월-금:오전 11시 - 오후 8시 30분|쉬는시간 매주 월-금:오후 2시 30분 - 오후 4시 30분|휴무일:매주 토/일,"치즈버거:6,900원|불고기치즈버거:6,900원|베이컨치즈버거:7,900원|스크램블베이컨 치즈버거:9,900원|리코타베이컨치즈버거:8,900원|킹더블치즈버거:10,900원|머쉬룸버거:10,900원|아보카도베이컨치즈버거:10,900원|쉬림프칠리버거:10,900원",37.49433805,127.0354328,식당
3WIe9YsIMFXG,블랙스완,4,서울 서초구서초동 1337-14 서초이즈타워 1층 113호,,,"예쁜, 반려동물동반, 주차",매일:오전 11시 - 오후 9시,"젤원컬러 행사중:30,000원|페디:40,000원|문제성 내성발톱 슈판느 교정:180,000원|문제성 손발톱 스케일링:50000~130000|문제성 스페셜 각질 케어:70000~100000|엄지발톱 향균젤 보형:150,000원|작은발톱 향균젤 보형:35,000원|향균젤 베이스:15,000원|고양이 무마취미용:100,000원|강남 고양이 픽업 미용:110,000원|블랙스완카페 아메리카노:1,900원",37.49213357,127.0291016,카페
dxjCZDckNQQl,카페 바이이브릭,5,서울특별시 강남구 역삼동 833-3,02-555-9848,모임,"인스타감성, 테이크아웃, 주차, 배달",월-금:오전 8시 - 오후 11시 30분|토/일:정오 12시 - 자정 12시,"SAND COFFEE BLACK:4,000원|리얼 딸기 우유:7,900원|아메리카노:3,500원|밀크티:5,500원|클래식 아인슈페너:4,500원|앙 버터카야토스트:6,000원|티라미슈케익:5,500원|레드벨벳케익:5,500원|치즈케익:5,500원|고소한 시그니처 라떼:5,000원|시원한 수박쥬스:4,500원|버터크림라떼:6,000원",37.49373362,127.0330453,카페
WixlZBrghnnj,앤드커피,3,서울특별시 강남구 역삼동 742-27,02-552-6022,,"캠핑분위기, 테이크아웃, 야외테라스",월-금:오전 10시 - 오후 9시|휴무일:매주 토/일,"에스프레소:3,400원|아메리카노:3,700원|카페라떼:4,300원|디카페인:4,000원|달달큐브라떼:5,500원",37.49560774,127.0339092,카페
NpdYY5NEan3o,응야끼도리 강남역점,8,서울특별시 서초구 서초동 1308-5,02-6952-9223,술모임,"서민적인, 저녁식사, 칸막이","월-수:오후 4시 - 오전 5시|목,금,토/일:오후 4시 - 오전 6시","쇠고기 와규타다끼:24,000원",37.50139309,127.0248965,식당
nK2v7vhjm4AN,룸187,5,서울특별시 강남구 역삼동 817-33,070-7771-5525,데이트,"빈티지, 반려동물동반",월-금:오후 4시 30분 - 자정 12시|토/일:정오 12시 30분 - 자정 12시,"페퍼잭 치즈 버거:13,000원|맥 앤 치즈:12,000원|나쵸 치즈:12,000원|워터멜론 위트:9,500원|펑크 IPA:9,800원|빅웨이브:9,500원",37.50057341,127.0278957,식당
HMzhfPfol0Bd,스탑오버,0,서울특별시 서초구 서초2동 1327-20,02-587-2755,회식,"분위기좋은, 반려동물동반, 주차","월-금,토:오후 5시 - 오전 1시 30분|휴무일:매주 일요일",,37.49508569,127.0277383,식당
8wS2x3K7mpxj,틴틴,2,서울특별시 강남구 역삼동 810-4,02-515-0556,데이트,"인스타감성, 반려동물동반","월-목,일:오전 11시 30분 - 오후 10시|금,토:오전 11시 30분 - 자정 12시","부라타 샐러드:18,900원|크러스트 돈마호크 & 아란치니:22,900원|치즈밤 리코타 피자:21,900원|카푸치노 크림리조또:19,900원|카프레제:14,900원|애플 피자:14,900원|곱창 필라프:22,900원|갈릭버터 쉬림프 필라프:17,900원|차돌 깻잎 파스타:17,900원|쉬림프 오일 파스타:16,900원|핫 치킨 크림 파스타:16,900원|빼쉐:18,900원",37.50353956,127.0261445,카페
WNtY8rNOFJVG,러빙헛 역삼점,0,서울특별시 강남구 역삼동 828-51,02-502-8858,간식,"존맛탱, 테이크아웃, 정원, 배달","월-금,일:오전 11시 30분 - 오후 9시|쉬는시간 매주 월-금,일:오후 3시 30분 - 오후 4시 30분|휴무일:매주 토요일","비건볼로네제파스타:12,400원|스파이시머쉬룸알리오올리오:12,400원|러빙헛비건버거:12,900원|클래식비건버거:15,400원",37.49630684,127.034192,식당
3SKn9js8GI1K,질할브로스 역삼점,8,서울특별시 강남구 역삼동 642-19 지하,02-566-1422,혼밥,"존맛탱, 점심식사, 저녁식사, 반려동물동반, 주차, 배달",월-금:오전 10시 30분 - 오후 9시|토/일:오전 11시 - 오후 8시|쉬는시간 매주 월-금:오후 3시 - 오후 5시,"치킨 오버 라이스 (Chicken Over Rice):8,400원|점보 치킨 오버 라이스 (Jumbo Chicken Over Rice):10,900원|램 오버 라이스 (Lamb Over Rice):8,900원|점보 램 오버 라이스 (Jumbo Lamb Over Rice):11,400원|콤보 라이스 (Combo Rice):8,900원|점보 콤보 라이스 (Jumbo Combo Rice):11,400원|치킨 라이스 랩 (Chicken Rice Wrap):7,600원|램 라이스 랩 (Lamb Rice Wrap):8,400원|치킨 랩 샌드위치 (Chicken Wrap Sandwich):5,400원|램 랩 샌드위치 (Lamb Wrap Sandwich):5,900원|음료:2,500원|맥주:400~7000",37.5010235,127.0360825,식당
WNel9lK6uB4F,카페 아우로라,0,서울특별시 서초구 서초동 1303-35,02-3482-0773,소개팅,"조용한, 반려동물동반, 주차",월-금:오전 10시 - 오후 10시|토요일:오전 11시 - 오후 10시,,37.50284757,127.0245442,카페
bUkuHqjX5WKq,모드파티라운지 강남2호점 강남2호점,7,서울특별시 서초구 서초동 1308-10,,술모임,"예쁜, 저녁식사, 반려동물동반, 주차",매일:24시간 영업,,37.5009885,127.0250898,식당
XNkAj4xlUKuG,두레촌,0,서울특별시 서초구 서초4동 1308-22,02-3481-9851,회식장소,"점심특선, 점심식사, 반려동물동반, 제로페이, 배달","월-금,토:오전 11시 20분 - 자정 12시|쉬는시간 매주 월-금,토:오후 3시 - 오후 4시 30분|휴무일:매주 일요일","생삼겹살:14,000원|냉동삼겹살:9,000원|벌집껍데기:9,000원|생오겹살:14,000원|뚝배기불고기:8,000원|촌된장찌개:8,000원|김치찌개:8,000원|돌솥비빔밥:8,000원|제육쌈밥:8,000원|생목살:14,000원|고추장 삼겹살:15,000원",37.50065661,127.024891,식당
TQJtfzkwakTq,케씨펍,0,서울특별시 강남구 역삼동 809-2,02-565-5465,회식,"분위기좋은, 반려동물동반, 주차",매일:오후 6시 - 오전 3시,"메이커스마크+과일+나쵸+음료3:209,000원|메이커스마크  하이볼:10,000원",37.5039548,127.0254905,식당
XvA7NtGOTc5T,보노,0,서울특별시 강남구 역삼동 818-6,02-6956-7202,모임,"조용한, 아침식사, 테이크아웃, 반려동물동반, 배달",월-금:오전 8시 - 오후 10시|토/일:오전 9시 - 자정 12시,"핸드드립 아메리카노:5,500원|아인슈페너:6,000원|플랫화이트:6,000원|카페라떼:6,000원|바닐라라떼:6,000원|카라멜라떼:6,000원|헤이즐넛라떼:6,000원|스페니쉬라떼:6,000원|모카라떼:6,000원|카푸치노:6,000원|에스프레소:5,000원|바질 브레스트 파니니:13,900원|바질 햄치즈 파니니:13,900원|아스파라거스 파니니:13,900원|치킨커리 샌드위치:13,900원|연어 베이글:14,900원",37.4999561,127.0287906,카페
XeWlhiEcON9k,다독인더시티,0,서울특별시 강남구 역삼동 608-23,02-516-9650,간식,"예쁜, 정원, 반려동물동반, 주차",매일:오전 10시 - 오후 10시,음료(입장료포함):10000~15000,37.50458082,127.0340633,카페
OuEGii79GypL,고꿉집,0,서울특별시 강남구 역삼동 834-20,02-6949-0705,회식,"존맛, 반려동물동반, 주차",월-금:오후 5시 - 오후 10시 30분|토/일:오후 5시 - 오후 10시,"숙성 한돈 삼겹살(160g):14,000원|숙성 한돈 목살(160g):14,000원|한돈 가브리살(150g):15,000원|++한우차돌박이:16,000원|군산앞바다 키조개관자:8,000원|++한우채끝등심:59,000원|++한우차돌박이+키조개관자set:22,000원",37.49317014,127.0345808,식당
OFIQIgBoTVsM,CAFE STAMP,0,서울특별시 강남구 역삼동 792-5,070-4131-4120,데이트,"조용한, 점심식사, 테이크아웃, 주차","월-목:오전 8시 - 오후 7시|금,토:오전 10시 - 오후 7시|휴무일:매주 일요일","아메리카노:3,000원",37.49326813,127.0359164,카페
TkXo22vhGUIa,봄커피,0,서울특별시 강남구 역삼동 833-2,02-557-5552,간식,"반려동물동반, 주차, 배달",월-금:오전 8시 - 오후 11시|토/일:오전 10시 - 오후 11시 30분,"아메리카노:3,500원",37.49355811,127.0327192,카페
x1thiVpD5fIB,비유어거트,3,서울특별시 강남구 역삼동 825-20,02-566-1116,,"반려동물동반, 주차, 배달",,"BE 시그니쳐:5,600원|꿀꿀 요거구망:4,900원|넛츠베리피그:4,600원|쇼콜라 피에스타:4,600원|망고베리:4,600원|오코그레이프:4,600원|허니바나나:4,600원|체리쵸코:5,100원|코코치즈:5,100원|Oh! 마이볼 (R):2,800원|초코 프로틴 그릭요거트:5,100원|오레오 프로틴 그릭요거트:5,100원|크로플:3,500원",37.49772688,127.0292974,카페
P8c6t2FqmpJI,가가린철우,0,서울특별시 강남구 역삼동 817-34,02-538-4984,데이트,반려동물동반,매일:오후 1시 - 오후 11시,원두커피_Tea:0원,37.50069785,127.0278396,카페
Ga2IvaYA3W96,카페프,0,서울특별시 서초구 서초동 1338-5 2층,02-6013-3360,간식,"비오는날, 반려동물동반, 주차, 배달",,"아메리카노:4,500원",37.49089477,127.0294854,카페
bdEgXvSifAIu,레이지 요거트,0,서울특별시 강남구 역삼동 831-45 105호,070-4123-5560,간식,"존맛, 테이크아웃, 배달",매일:오전 10시 - 오후 8시,"PLAIN - 플레인:3,500원|PLAIN - 플레인:6,800원|PLAIN - 플레인:10,900원|PLAIN - 플레인:13,900원|Soya milk - 두유:4,000원|Soya milk - 두유:8,000원|Soya milk - 두유:11,900원|Soya milk - 두유:15,900원|Pet & I, Together:7,000원|카카오닙스:500원|해바라기씨:500원|그래놀라:1,000원|쇼트브레드:1,000원|코코넛 청크:1,000원|바나나:800원|아몬드:800원|초코볼:800원|블루베리:1,000원|계절과일:1,200원|베이글:1,500원|건무화과:1,500원|꿀:800원|초코시럽:800원|캐모마일시럽:1,000원|핸드 드립(COFFEE):4,000원",37.49366065,127.0310158,카페
77F2oTkU03tJ,키오스크이피 서초점,0,서울특별시 서초구 서초동 1338-5,02-6242-0393,모임,"콜키지, 주차",월-금:오후 5시 - 오후 11시 30분|토요일:오후 3시 - 오후 11시 30분|일요일:오후 3시 - 오후 10시,,37.48998317,127.0296705,식당
Qjne6ZdoAlRU,르와조 역삼,0,서울특별시 강남구 역삼동 640-21,070-7537-3893,,"럭셔리, 테이크아웃",,,37.50243731,127.035042,카페
sAftThwUyR1H,남산터 신논현점,0,서울특별시 서초구 서초동 1302-45,02-533-1982,해장,"직장인맛집, 24시간영업, 반려동물동반, 발렛파킹, 배달",매일:24시간 영업,"수제베이컨 부대찌개:16,000원|남산터 수제햄 부대찌개:11,000원|시그니처 수제 소세지:13,000원|시그니처 수제베이컨:14,000원|이베리코 베요타 목살:16,000원|시그니처 수제 샘플러:23,000원",37.50317182,127.0228853,식당
M9RyoTSGJf1Z,더역삼 이호점,0,서울특별시 강남구 역삼동 637-19,02-563-9979,,"반려동물동반, 배달",월-금:오전 7시 30분 - 오후 7시|토/일:오전 10시 - 오후 6시,"인삼주스:4,000원|아이스 아메리카노:1,500원|카페라떼:2,800원|딸기라떼:3,500원|유자깔라만시:3,000원|딸기에이드:2,500원|체리콕:2,500원|레몬콕:2,500원",37.50076275,127.0323372,카페
dlDHllKeTCnj,삼삼공데이,0,서울특별시 강남구 역삼동 642-6,,간식,"가성비좋은, 점심식사, 테이크아웃, 반려동물동반, 배달","월-금,토:오전 10시 - 오후 9시|휴무일:매주 일요일","아메리카노hot:1,500원|아메리카노ice:2,000원|카페라떼hot:2,500원|카페라떼ice:3,500원",37.50169496,127.0359769,카페
WFPV4H5Kd0GU,꽃잎만두,0,서울특별시 서초구 서초동 1303-10,02-595-2510,간식,"존맛, 테이크아웃, 반려동물동반, 제로페이, 배달",매일:오전 10시 - 오후 11시,"꽃잎모듬만두-소:10,000원|꽃잎모듬만두-중:20,000원|꽃잎모듬만두-대:30,000원|딤섬고기만두:5,000원|딤섬김치만두:5,000원|딤섬쭈꾸미만두:5,000원|새우교자:5,000원|갈비만두:5,000원|고기손만두:5,000원|김치손만두:5,000원|매콤짬뽕만두:5,000원|화끈한불만두:5,000원|고기왕만두:5,000원|김치왕만두:5,000원|안흥찐빵:5,000원|모듬감자떡:5,000원",37.50322016,127.0235679,식당
DDkXdwfyHxKx,스탠,0,서울특별시 서초구 반포동 746-2,,,"크리스마스, 반려동물동반",월-금:오전 9시 - 오후 8시|토/일:정오 12시 - 오후 8시,"Almond Cream Mocha:6,000원|아메리카노:4,000원|카페라떼:4,500원|허니라떼:4,800원|바닐라라떼:4,800원|헤이즐럿라떼:4,800원|연유라떼:4,800원|아포카토:5,500원|초콜릿라떼:5,000원|그린티라떼:5,000원|딸기라떼:5,500원|블루베리라떼:5,500원|고구마라떼:5,000원|로얄밀크티:5,000원|버블밀크티:5,500원|그린버블티:5,500원|초코버블티:5,500원|그린티 썸머라떼:5,500원|초콜렛 썸머라떼:5,500원|자몽에이드:5,500원|청귤에이드:5,500원|딸기에이드:5,500원|블루베리에이드:5,500원|샹그리아에이드:5,500원|자몽티:5,000원|청귤티:5,000원|얼그레이티:5,000원|캐모마일티:5,000원|레몬민트티:5,000원",37.50434181,127.0221938,카페
XSzehjl6jnXZ,prep coffee,0,서울특별시 강남구 역삼동 749,02-4849-3535,,"반려동물동반, 주차, 배달",월-금:오전 8시 - 오후 7시,"아메리카노:3,000원|아메리카노 디카페인:3,500원|Prep 라떼:4,000원|카페라떼:3,500원|바닐라 라떼:4,000원|크림 카페모카:4,500원|아인슈페너:4,500원|마스코바도 크림 플렛:5,000원|자몽에이드:4,500원|레몬에이드:4,500원|말차라떼:4,500원|밀크티:4,500원|크림 초코라떼:5,000원|No. 18 브리티시 브런치:4,500원|No. 55 로드 버가모트:4,500원|No. 24 빅 히비스커스:4,500원|No. 67 메도우:4,500원|버터바:3,500원|르뱅쿠키:3,200원",37.49651273,127.0356939,카페
lEZ7GjNBkQdP,Louder,0,서울특별시 강남구 역삼동 638-20,02-2051-5525,,"아늑한, 바테이블",월-금:오후 6시 - 오전 2시|토요일:오후 6시 - 자정 12시|휴무일:매주 일요일,"얼음 생맥주:5,000원|칵테일:9,000원|One and One:5,000원|보드카,진,럼,데킬라,위스키 *바틀:90,000원",37.50172045,127.0332336,식당
xv7yN8Nv6DyR,가배도 강남점,0,서울특별시 서초구 서초동 1318-2,02-595-4542,,"밝은분위기, 반려동물동반",월-금:오전 9시 30분 - 오후 9시|토/일:오전 11시 - 오후 9시,"가배:4,900원|말차 라떼:6,500원|티라미수:7,000원|라떼:5,400원|코르타도:5,400원|밀크티:7,000원",37.49882718,127.0266669,식당
